epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.67,2.37978,5.45135,2.23566,0.53767,0.18284,0.19298,0.10091,1.60886,1.29207,1.55243,0.000256048,0.000256048,0.000256048
2,507.89,1.62275,1.30863,1.46885,0.42718,0.2634,0.24035,0.1262,1.45713,1.12359,1.41954,0.000496529,0.000496529,0.000496529
3,759.527,1.5303,1.1879,1.3943,0.45756,0.28011,0.25268,0.12916,1.4432,1.10558,1.38871,0.00072115,0.00072115,0.00072115
4,1004.7,1.47872,1.13349,1.36536,0.52098,0.30382,0.2873,0.1511,1.37872,1.00165,1.35579,0.000697627,0.000697627,0.000697627
5,1247.63,1.44353,1.08684,1.33595,0.62155,0.29639,0.29301,0.15348,1.36523,0.96154,1.33943,0.000673836,0.000673836,0.000673836
6,1490.63,1.41262,1.04406,1.31436,0.70229,0.31504,0.32876,0.17047,1.33197,0.94652,1.32119,0.000650045,0.000650045,0.000650045
7,1735.52,1.39621,1.02362,1.30038,0.67354,0.33539,0.33982,0.17899,1.32761,0.92296,1.30848,0.000626254,0.000626254,0.000626254
8,1980.13,1.37644,0.99634,1.28409,0.78474,0.34001,0.34103,0.17888,1.31955,0.94599,1.30317,0.000602463,0.000602463,0.000602463
9,2221.61,1.35816,0.97993,1.27696,0.66267,0.39489,0.36769,0.19379,1.31784,0.91381,1.29588,0.000578672,0.000578672,0.000578672
10,2465.44,1.3537,0.95869,1.26801,0.7024,0.35311,0.35583,0.19287,1.31803,0.87444,1.29848,0.000554882,0.000554882,0.000554882
11,2713.4,1.33707,0.94499,1.25905,0.67668,0.44289,0.40511,0.22167,1.29725,0.90027,1.28592,0.000531091,0.000531091,0.000531091
12,2955.16,1.32829,0.9329,1.25297,0.50632,0.44585,0.41515,0.23181,1.28824,0.85243,1.27843,0.0005073,0.0005073,0.0005073
13,3198.03,1.32104,0.91635,1.24702,0.60005,0.37767,0.42366,0.23436,1.29835,0.84789,1.27912,0.000483509,0.000483509,0.000483509
14,3440.02,1.31902,0.91044,1.24558,0.60211,0.44116,0.43724,0.24435,1.28487,0.83559,1.27557,0.000459718,0.000459718,0.000459718
15,3682.44,1.3048,0.89953,1.2352,0.72471,0.38879,0.42652,0.23287,1.27145,0.82998,1.26672,0.000435927,0.000435927,0.000435927
16,3926.55,1.30177,0.89012,1.23351,0.54303,0.44644,0.44094,0.24571,1.27976,0.80996,1.26981,0.000412136,0.000412136,0.000412136
17,4174.18,1.28446,0.87815,1.22602,0.55989,0.47687,0.42601,0.23585,1.27984,0.82163,1.26992,0.000388345,0.000388345,0.000388345
18,4420.34,1.28504,0.8638,1.22191,0.57053,0.44553,0.42785,0.24266,1.27668,0.80998,1.26372,0.000364554,0.000364554,0.000364554
19,4663.82,1.27964,0.86288,1.21798,0.52621,0.48442,0.43127,0.23853,1.26813,0.82568,1.2625,0.000340763,0.000340763,0.000340763
20,4908.97,1.27423,0.85519,1.21316,0.57124,0.40577,0.44178,0.24079,1.26561,0.79119,1.26133,0.000316972,0.000316972,0.000316972
21,5153.24,1.26896,0.84691,1.21226,0.50616,0.49013,0.43029,0.24044,1.26341,0.80711,1.2579,0.000293181,0.000293181,0.000293181
22,5396.81,1.2652,0.83797,1.20939,0.53473,0.46905,0.43419,0.24251,1.26794,0.78854,1.26062,0.00026939,0.00026939,0.00026939
23,5656.03,1.23639,0.79079,1.2542,0.54106,0.43102,0.42809,0.23798,1.25865,0.78957,1.25535,0.000245599,0.000245599,0.000245599
24,5892.86,1.22441,0.77489,1.24433,0.54201,0.41238,0.42222,0.23592,1.26124,0.78485,1.2537,0.000221808,0.000221808,0.000221808
25,6133,1.21989,0.76596,1.2457,0.57306,0.42238,0.42983,0.23548,1.25656,0.78232,1.24843,0.000198018,0.000198018,0.000198018
26,6374.48,1.21374,0.7576,1.23848,0.53148,0.42582,0.4311,0.23732,1.26463,0.77612,1.25262,0.000174227,0.000174227,0.000174227
27,6612.79,1.20752,0.74732,1.23241,0.56304,0.4445,0.44093,0.2391,1.25879,0.79841,1.24506,0.000150436,0.000150436,0.000150436
28,6852.36,1.19606,0.73968,1.22465,0.52392,0.44051,0.43281,0.23817,1.25941,0.79313,1.2451,0.000126645,0.000126645,0.000126645
29,7097.55,1.19223,0.72858,1.21819,0.53692,0.44153,0.44188,0.24,1.25762,0.78187,1.24469,0.000102854,0.000102854,0.000102854
30,7336.06,1.18694,0.72363,1.21952,0.50862,0.5136,0.44599,0.24198,1.25828,0.78854,1.24541,7.90628e-05,7.90628e-05,7.90628e-05
31,7587.04,1.17957,0.71613,1.21044,0.50523,0.52783,0.44996,0.24452,1.25921,0.78722,1.24726,5.52719e-05,5.52719e-05,5.52719e-05
32,7821.05,1.17136,0.70815,1.20913,0.52154,0.54778,0.4554,0.24669,1.25654,0.78502,1.24508,3.14809e-05,3.14809e-05,3.14809e-05
