epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.623,1.9022,5.96798,1.48514,0.61353,0.25325,0.2689,0.14844,1.40582,1.12977,1.18184,0.000256048,0.000256048,0.000256048
2,507.715,1.44589,1.20486,1.17092,0.63386,0.25791,0.2991,0.17132,1.35565,0.99896,1.14156,0.000496529,0.000496529,0.000496529
3,755.759,1.39055,1.094,1.1421,0.50219,0.31078,0.31294,0.18174,1.32911,0.93237,1.13013,0.00072115,0.00072115,0.00072115
4,993.73,1.36671,1.0414,1.13539,0.67343,0.31419,0.36511,0.21195,1.30178,0.8822,1.11249,0.000697627,0.000697627,0.000697627
5,1231.2,1.34068,0.9952,1.1178,0.83394,0.31206,0.40297,0.23205,1.29025,0.85615,1.10612,0.000673836,0.000673836,0.000673836
6,1467.43,1.31877,0.96159,1.10392,0.54335,0.36672,0.40633,0.23553,1.27315,0.83686,1.09781,0.000650045,0.000650045,0.000650045
7,1708.02,1.30861,0.93536,1.09746,0.49382,0.36816,0.42361,0.24968,1.27647,0.82064,1.09339,0.000626254,0.000626254,0.000626254
8,1945.99,1.29811,0.91253,1.09071,0.71756,0.43158,0.41706,0.24036,1.2675,0.80319,1.08747,0.000602463,0.000602463,0.000602463
9,2185.16,1.2814,0.89489,1.08544,0.52143,0.43812,0.44032,0.25914,1.25556,0.79333,1.08482,0.000578672,0.000578672,0.000578672
10,2432.38,1.27922,0.8822,1.07968,0.64486,0.38979,0.44345,0.25833,1.25224,0.77254,1.0774,0.000554882,0.000554882,0.000554882
11,2669.67,1.26271,0.86545,1.07406,0.68554,0.4357,0.43419,0.25613,1.24153,0.76964,1.07435,0.000531091,0.000531091,0.000531091
12,2914.67,1.26415,0.85877,1.07202,0.56739,0.41928,0.45579,0.27211,1.2357,0.76274,1.06988,0.0005073,0.0005073,0.0005073
13,3155.11,1.2556,0.84466,1.06668,0.51347,0.46543,0.4354,0.2615,1.23704,0.74466,1.06681,0.000483509,0.000483509,0.000483509
14,3397.01,1.25574,0.84156,1.06711,0.60905,0.45754,0.47072,0.2795,1.23062,0.74395,1.06804,0.000459718,0.000459718,0.000459718
15,3659.13,1.24557,0.83241,1.06206,0.6246,0.42822,0.46244,0.27807,1.23304,0.73525,1.06767,0.000435927,0.000435927,0.000435927
16,3894.58,1.24078,0.82382,1.06047,0.63651,0.43056,0.47786,0.29147,1.23344,0.72934,1.0662,0.000412136,0.000412136,0.000412136
17,4144.61,1.22881,0.81312,1.05683,0.64488,0.44768,0.47747,0.29002,1.22755,0.72246,1.06405,0.000388345,0.000388345,0.000388345
18,4385.54,1.23283,0.80359,1.05513,0.55673,0.46945,0.47607,0.29319,1.22822,0.71933,1.06382,0.000364554,0.000364554,0.000364554
19,4623.59,1.22577,0.79951,1.05324,0.59616,0.46862,0.48159,0.30003,1.22079,0.7107,1.05992,0.000340763,0.000340763,0.000340763
20,4862.99,1.22259,0.79603,1.05003,0.68898,0.48026,0.46834,0.28735,1.2196,0.70123,1.06029,0.000316972,0.000316972,0.000316972
21,5122.83,1.219,0.78812,1.0493,0.64999,0.45517,0.47039,0.29007,1.21817,0.7004,1.05875,0.000293181,0.000293181,0.000293181
22,5363.51,1.2142,0.78321,1.04671,0.60626,0.46734,0.48358,0.30296,1.21445,0.70431,1.05616,0.00026939,0.00026939,0.00026939
23,5616.2,1.18286,0.71485,1.05355,0.60866,0.456,0.45979,0.286,1.21437,0.69659,1.05722,0.000245599,0.000245599,0.000245599
24,5847.46,1.17221,0.70249,1.04689,0.59225,0.47576,0.4695,0.29215,1.21428,0.69399,1.0563,0.000221808,0.000221808,0.000221808
25,6081.9,1.17277,0.69294,1.04982,0.59583,0.46787,0.49534,0.31538,1.21432,0.69031,1.05598,0.000198018,0.000198018,0.000198018
26,6312.54,1.16669,0.68726,1.04487,0.61056,0.50711,0.49654,0.31131,1.2135,0.6871,1.05597,0.000174227,0.000174227,0.000174227
27,6545.86,1.16189,0.67806,1.04279,0.62084,0.46818,0.49976,0.3125,1.21245,0.68187,1.05579,0.000150436,0.000150436,0.000150436
28,6778.25,1.15343,0.67333,1.03872,0.60186,0.47275,0.49514,0.31034,1.21362,0.68008,1.05565,0.000126645,0.000126645,0.000126645
29,7017.87,1.14872,0.66272,1.03624,0.64711,0.46844,0.50147,0.31495,1.21266,0.67721,1.0558,0.000102854,0.000102854,0.000102854
30,7256.08,1.14171,0.66236,1.03566,0.61677,0.47241,0.49878,0.3131,1.21262,0.67864,1.05492,7.90628e-05,7.90628e-05,7.90628e-05
31,7493.1,1.14047,0.65463,1.03181,0.63025,0.48057,0.50244,0.31653,1.21104,0.67263,1.05397,5.52719e-05,5.52719e-05,5.52719e-05
32,7726.97,1.13317,0.64896,1.03159,0.62585,0.48198,0.50292,0.31644,1.21033,0.67284,1.05302,3.14809e-05,3.14809e-05,3.14809e-05
