epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.083,2.69747,6.18082,2.50091,0.74493,0.16166,0.17909,0.09323,1.66873,1.37742,1.62582,0.00332962,0.00332962,0.00332962
2,639.89,1.67653,1.37291,1.51596,0.52705,0.22875,0.22413,0.11989,1.47491,1.12451,1.43824,0.00659699,0.00659699,0.00659699
3,945.651,1.53355,1.17698,1.40253,0.55364,0.24241,0.23696,0.12911,1.3895,1.02663,1.36828,0.00979836,0.00979836,0.00979836
4,1249.16,1.45928,1.07056,1.35655,0.48865,0.30846,0.2904,0.15201,1.35228,0.89154,1.33526,0.009703,0.009703,0.009703
5,1552.98,1.39994,0.98953,1.31661,0.50762,0.32582,0.31682,0.16505,1.32799,0.82893,1.32011,0.009604,0.009604,0.009604
6,1856.07,1.35951,0.93702,1.29274,0.45667,0.31006,0.32899,0.16939,1.30251,0.83691,1.31039,0.009505,0.009505,0.009505
7,2161.79,1.33733,0.90227,1.27906,0.6167,0.34686,0.36115,0.18739,1.30122,0.79329,1.29639,0.009406,0.009406,0.009406
8,2489.74,1.32365,0.88056,1.26665,0.57496,0.34256,0.3697,0.19274,1.27067,0.77983,1.28107,0.009307,0.009307,0.009307
9,2800.02,1.30075,0.85523,1.25944,0.59382,0.37019,0.36834,0.19814,1.27626,0.77234,1.28528,0.009208,0.009208,0.009208
10,3096.62,1.2966,0.84247,1.25265,0.58589,0.39238,0.39398,0.20709,1.27632,0.74574,1.28189,0.009109,0.009109,0.009109
11,3404.01,1.27842,0.82225,1.24375,0.61059,0.37168,0.41321,0.22597,1.26116,0.73084,1.27675,0.00901,0.00901,0.00901
12,3706.19,1.27678,0.81644,1.24156,0.69931,0.42991,0.40495,0.21922,1.26364,0.74254,1.26958,0.008911,0.008911,0.008911
13,4013.63,1.26676,0.80007,1.23501,0.68972,0.39222,0.42787,0.23565,1.24793,0.71031,1.26607,0.008812,0.008812,0.008812
14,4307.33,1.269,0.79936,1.23681,0.64702,0.43574,0.43222,0.2355,1.24434,0.70517,1.26181,0.008713,0.008713,0.008713
15,4608.11,1.2521,0.78635,1.2268,0.69168,0.3941,0.41774,0.23257,1.23607,0.72109,1.25934,0.008614,0.008614,0.008614
16,4904.4,1.25135,0.77395,1.22656,0.62448,0.43476,0.46164,0.2648,1.24853,0.6839,1.26432,0.008515,0.008515,0.008515
17,5199.69,1.2399,0.76281,1.22261,0.52762,0.41155,0.44597,0.25252,1.24735,0.68589,1.26717,0.008416,0.008416,0.008416
18,5502.26,1.23537,0.75656,1.2161,0.58787,0.47387,0.49871,0.28358,1.22908,0.67998,1.2525,0.008317,0.008317,0.008317
19,5799.87,1.2349,0.75639,1.21725,0.69203,0.42928,0.45159,0.25366,1.23665,0.67439,1.25956,0.008218,0.008218,0.008218
