                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8506,                 8.5118,                 2.4825,                0.00167,                0.43535,                0.02792,                0.00849,                 2.6619,                 6.5714,                 2.0243,             0.00030167,             0.00030167,             0.00030167
                      2,                 2.5493,                 5.5607,                  2.132,                0.78518,                0.03651,                0.04483,                0.01256,                 2.4855,                 4.7483,                 2.0506,              0.0005448,              0.0005448,              0.0005448
                      3,                 2.4375,                 4.3269,                  2.079,                0.55329,                0.08535,                0.05202,                0.01682,                 2.4458,                 4.1689,                 2.0667,             0.00072795,             0.00072795,             0.00072795
                      4,                 2.3541,                 3.8767,                 2.0688,                0.47508,                0.09363,                0.07238,                0.02109,                 2.3754,                 3.7999,                 2.1461,             0.00063903,             0.00063903,             0.00063903
                      5,                 2.2814,                 3.5548,                 2.0199,                0.65943,                0.07586,                0.08208,                0.02606,                  2.333,                  3.565,                 2.0522,             0.00063903,             0.00063903,             0.00063903
                      6,                  2.192,                  3.265,                 1.9543,                0.33121,                 0.1523,                0.12846,                0.04691,                 2.3377,                 3.3266,                 2.0954,             0.00054904,             0.00054904,             0.00054904
                      7,                 2.1252,                 3.0319,                 1.9058,                 0.3986,                0.14695,                0.13153,                0.05037,                 2.3125,                 3.2064,                 2.0452,             0.00045904,             0.00045904,             0.00045904
                      8,                 2.0727,                 2.8576,                 1.8871,                0.19484,                0.20008,                0.14058,                0.05531,                 2.2963,                 3.1499,                 2.0254,             0.00036905,             0.00036905,             0.00036905
                      9,                 1.9985,                 2.6752,                 1.8231,                0.30329,                 0.2051,                0.17265,                0.07038,                 2.1839,                 3.0056,                 1.9774,             0.00027906,             0.00027906,             0.00027906
                     10,                 1.9383,                 2.5178,                 1.7655,                0.19547,                 0.2136,                0.16516,                0.06406,                 2.2224,                 2.9139,                 1.9955,             0.00018907,             0.00018907,             0.00018907
