epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.024,2.41178,5.72779,2.28603,0.53221,0.19498,0.19254,0.10129,1.60406,1.28917,1.55119,0.000256048,0.000256048,0.000256048
2,514.443,1.6195,1.31,1.46414,0.56134,0.28441,0.24211,0.12393,1.48159,1.14876,1.4292,0.000496529,0.000496529,0.000496529
3,764.571,1.52606,1.19535,1.38813,0.42535,0.33939,0.22704,0.12442,1.41947,1.34026,1.37597,0.00072115,0.00072115,0.00072115
4,1010.15,1.47906,1.13523,1.35897,0.61273,0.25946,0.27389,0.14285,1.38436,1.0444,1.3555,0.000697627,0.000697627,0.000697627
5,1258.31,1.44101,1.08627,1.32804,0.64154,0.30988,0.29398,0.15677,1.35395,0.97608,1.33104,0.000673836,0.000673836,0.000673836
6,1506.33,1.40691,1.04362,1.3049,0.45114,0.34558,0.31178,0.16149,1.34824,0.95957,1.32581,0.000650045,0.000650045,0.000650045
7,1761.3,1.3915,1.02107,1.29265,0.55644,0.31372,0.32868,0.17501,1.33724,0.91773,1.31319,0.000626254,0.000626254,0.000626254
8,2013.08,1.37638,0.99722,1.27982,0.66383,0.34246,0.34077,0.1784,1.32269,0.95619,1.30862,0.000602463,0.000602463,0.000602463
9,2261.63,1.3563,0.97606,1.27026,0.59528,0.39404,0.36276,0.19355,1.30234,0.92839,1.29035,0.000578672,0.000578672,0.000578672
10,2506.62,1.35098,0.96037,1.26265,0.70148,0.36695,0.36647,0.19795,1.30698,0.8813,1.28677,0.000554882,0.000554882,0.000554882
11,2774.69,1.33129,0.94567,1.25193,0.67241,0.39129,0.37124,0.19917,1.29239,0.91765,1.27918,0.000531091,0.000531091,0.000531091
12,3032.64,1.33083,0.93339,1.24924,0.69674,0.41113,0.38752,0.21074,1.29417,0.86994,1.2778,0.0005073,0.0005073,0.0005073
13,3281.74,1.32115,0.91743,1.24159,0.57834,0.38843,0.3882,0.20651,1.29109,0.8839,1.27427,0.000483509,0.000483509,0.000483509
14,3532.86,1.32061,0.91419,1.24214,0.58116,0.44946,0.40283,0.2166,1.28296,0.89479,1.27318,0.000459718,0.000459718,0.000459718
15,3799.43,1.30582,0.90206,1.23196,0.62419,0.41226,0.43509,0.23766,1.27394,0.83893,1.26662,0.000435927,0.000435927,0.000435927
16,4043.06,1.30303,0.89097,1.22883,0.56536,0.4652,0.44047,0.25565,1.28019,0.87237,1.2711,0.000412136,0.000412136,0.000412136
17,4269.41,1.2863,0.88201,1.22328,0.48926,0.46696,0.43027,0.2424,1.27675,0.86035,1.26505,0.000388345,0.000388345,0.000388345
18,4501.1,1.28832,0.86684,1.21942,0.5533,0.46312,0.42793,0.24281,1.26922,0.83596,1.25671,0.000364554,0.000364554,0.000364554
19,4750.44,1.28047,0.86584,1.215,0.54219,0.47568,0.43523,0.2479,1.26444,0.85386,1.25739,0.000340763,0.000340763,0.000340763
20,5009.48,1.27651,0.86332,1.21002,0.5792,0.45247,0.4326,0.2434,1.26114,0.82783,1.25731,0.000316972,0.000316972,0.000316972
21,5258.72,1.27256,0.8531,1.20948,0.58844,0.46248,0.44131,0.24921,1.26101,0.84602,1.25483,0.000293181,0.000293181,0.000293181
22,5505.78,1.26906,0.84604,1.20875,0.53981,0.44133,0.44479,0.24918,1.25941,0.80649,1.25398,0.00026939,0.00026939,0.00026939
23,5769.82,1.24057,0.80606,1.25523,0.55007,0.49916,0.4451,0.2522,1.25647,0.80866,1.25226,0.000245599,0.000245599,0.000245599
24,6016.13,1.22993,0.79045,1.24605,0.60333,0.45732,0.44397,0.25335,1.25619,0.79733,1.25088,0.000221808,0.000221808,0.000221808
25,6269.62,1.2267,0.77942,1.24876,0.58557,0.47747,0.43864,0.24485,1.24874,0.81362,1.24719,0.000198018,0.000198018,0.000198018
26,6531.84,1.21828,0.77114,1.24119,0.64348,0.44655,0.45136,0.25812,1.25209,0.77789,1.24856,0.000174227,0.000174227,0.000174227
27,6779.41,1.21242,0.75834,1.237,0.61208,0.47935,0.45645,0.26008,1.24884,0.78146,1.24553,0.000150436,0.000150436,0.000150436
28,7022.42,1.2027,0.75109,1.23255,0.5884,0.46637,0.44946,0.25654,1.24941,0.7861,1.2464,0.000126645,0.000126645,0.000126645
29,7280.24,1.19845,0.74393,1.22612,0.59574,0.46713,0.45391,0.25753,1.24757,0.77545,1.24543,0.000102854,0.000102854,0.000102854
30,7518.49,1.19361,0.73821,1.22768,0.57916,0.48252,0.46264,0.26424,1.24586,0.78031,1.24536,7.90628e-05,7.90628e-05,7.90628e-05
31,7763.65,1.18691,0.73125,1.2197,0.62279,0.46668,0.46258,0.26286,1.24513,0.77358,1.24458,5.52719e-05,5.52719e-05,5.52719e-05
32,8001.37,1.17965,0.72523,1.21908,0.60704,0.46799,0.46261,0.26361,1.24234,0.77672,1.24263,3.14809e-05,3.14809e-05,3.14809e-05
