epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.961,2.55523,5.50386,1.95116,0.35224,0.15371,0.14069,0.06678,1.97107,1.75561,1.64482,0.000256048,0.000256048,0.000256048
2,409.134,1.98438,1.85347,1.562,0.53938,0.16981,0.17544,0.08522,1.7622,1.53155,1.4925,0.000496529,0.000496529,0.000496529
3,622.534,1.85044,1.67516,1.48082,0.4687,0.19629,0.19206,0.09436,1.69442,1.47924,1.44166,0.00072115,0.00072115,0.00072115
4,847.537,1.79507,1.60044,1.4504,0.57013,0.20343,0.21609,0.1049,1.64102,1.4608,1.41519,0.000697627,0.000697627,0.000697627
5,1057.88,1.75693,1.54359,1.42401,0.46916,0.2427,0.23544,0.11608,1.61381,1.33426,1.39049,0.000673836,0.000673836,0.000673836
6,1271.87,1.72218,1.49116,1.4023,0.47454,0.2502,0.24653,0.12379,1.61,1.31062,1.37358,0.000650045,0.000650045,0.000650045
7,1485.88,1.70392,1.4644,1.39091,0.59558,0.24282,0.25263,0.12772,1.58386,1.27645,1.35749,0.000626254,0.000626254,0.000626254
8,1709.07,1.68586,1.43315,1.37622,0.63088,0.22497,0.25763,0.13182,1.56443,1.30041,1.35951,0.000602463,0.000602463,0.000602463
9,1922.37,1.66246,1.41335,1.36543,0.58134,0.26493,0.26638,0.13788,1.55998,1.25666,1.35006,0.000578672,0.000578672,0.000578672
10,2134.65,1.65711,1.39512,1.35964,0.71418,0.22717,0.27468,0.14273,1.55274,1.23718,1.34389,0.000554882,0.000554882,0.000554882
11,2346.06,1.64421,1.38351,1.35258,0.60219,0.28482,0.27975,0.14518,1.54222,1.22513,1.33213,0.000531091,0.000531091,0.000531091
12,2565.08,1.63737,1.36982,1.34745,0.72506,0.29004,0.28531,0.14853,1.53649,1.21715,1.32274,0.0005073,0.0005073,0.0005073
13,2777.1,1.63381,1.35984,1.34184,0.73282,0.26211,0.31355,0.15275,1.53039,1.20789,1.31772,0.000483509,0.000483509,0.000483509
14,2988.98,1.62536,1.34641,1.33586,0.61632,0.28745,0.32656,0.16084,1.53142,1.19281,1.32625,0.000459718,0.000459718,0.000459718
15,3198.97,1.61928,1.33544,1.33055,0.72015,0.30222,0.33086,0.15987,1.5232,1.1908,1.31756,0.000435927,0.000435927,0.000435927
16,3410.15,1.61192,1.32555,1.32575,0.66635,0.2954,0.31988,0.16079,1.51595,1.17812,1.30666,0.000412136,0.000412136,0.000412136
17,3632.2,1.60181,1.3155,1.32181,0.61778,0.30075,0.33482,0.16329,1.51392,1.16958,1.30557,0.000388345,0.000388345,0.000388345
18,3846.61,1.60085,1.30218,1.31773,0.64708,0.29378,0.33639,0.17094,1.51296,1.173,1.31244,0.000364554,0.000364554,0.000364554
19,4059.2,1.59746,1.30128,1.31813,0.67169,0.27713,0.34002,0.16779,1.50645,1.16241,1.30098,0.000340763,0.000340763,0.000340763
20,4272.31,1.59179,1.29467,1.31158,0.62719,0.29799,0.3217,0.16509,1.50645,1.16201,1.30908,0.000316972,0.000316972,0.000316972
21,4495.23,1.58849,1.29277,1.31246,0.65435,0.28721,0.34646,0.17026,1.49702,1.1521,1.29943,0.000293181,0.000293181,0.000293181
22,4708.3,1.58373,1.27926,1.30585,0.64041,0.31301,0.34883,0.17202,1.5,1.15025,1.29533,0.00026939,0.00026939,0.00026939
23,4925.79,1.53553,1.21554,1.32169,0.63782,0.30188,0.34896,0.17317,1.48693,1.13304,1.29247,0.000245599,0.000245599,0.000245599
24,5125.81,1.52159,1.19598,1.30936,0.65914,0.28812,0.334,0.1725,1.48539,1.12876,1.29263,0.000221808,0.000221808,0.000221808
25,5342.45,1.51311,1.18699,1.31132,0.53757,0.31365,0.35856,0.17899,1.4813,1.12218,1.28828,0.000198018,0.000198018,0.000198018
26,5549.74,1.51713,1.18519,1.30979,0.66434,0.30259,0.35307,0.18022,1.48273,1.1248,1.29177,0.000174227,0.000174227,0.000174227
27,5755.83,1.50844,1.17047,1.3025,0.49198,0.37121,0.36046,0.18115,1.47946,1.11442,1.28407,0.000150436,0.000150436,0.000150436
28,5963.29,1.50013,1.16663,1.29865,0.54972,0.32001,0.3607,0.18099,1.47845,1.1127,1.28613,0.000126645,0.000126645,0.000126645
29,6174.8,1.49942,1.15384,1.29567,0.48204,0.37059,0.36063,0.18141,1.47504,1.11177,1.2828,0.000102854,0.000102854,0.000102854
30,6386.21,1.49314,1.1472,1.29415,0.45,0.41406,0.36335,0.18169,1.47392,1.10688,1.28366,7.90628e-05,7.90628e-05,7.90628e-05
31,6596.95,1.49111,1.14136,1.2919,0.49116,0.39316,0.36617,0.18423,1.47384,1.10295,1.28387,5.52719e-05,5.52719e-05,5.52719e-05
32,6805.22,1.48615,1.13906,1.29058,0.47038,0.3962,0.36522,0.18336,1.47243,1.10401,1.2834,3.14809e-05,3.14809e-05,3.14809e-05
