epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5231.11,2.96734,9.68167,2.73258,0.83887,0.01042,0.01264,0.00462,2.73739,4.62313,2.3631,0.000301665,0.000301665,0.000301665
2,7178.2,2.64144,4.26841,2.42437,0.40843,0.05179,0.04531,0.01225,2.72826,3.98739,2.60223,0.000544803,0.000544803,0.000544803
3,9320.57,2.54209,3.75535,2.37176,0.31526,0.09408,0.07879,0.02685,2.558,3.58068,2.34619,0.000727947,0.000727947,0.000727947
1,1918.57,2.96734,9.68167,2.73258,0.83887,0.01042,0.01264,0.00462,2.73739,4.62313,2.3631,0.000301665,0.000301665,0.000301665
2,3893.16,2.64144,4.26841,2.42437,0.40843,0.05179,0.04531,0.01225,2.72826,3.98739,2.60223,0.000544803,0.000544803,0.000544803
3,6493.3,2.54209,3.75535,2.37176,0.31526,0.09408,0.07879,0.02685,2.558,3.58068,2.34619,0.000727947,0.000727947,0.000727947
4,8288.7,2.41472,3.42706,2.28058,0.31035,0.14991,0.08731,0.03058,2.4338,3.463,2.31389,0.000639027,0.000639027,0.000639027
5,9930.67,2.3339,3.14414,2.19326,0.1996,0.17502,0.12813,0.04663,2.41007,3.25117,2.30448,0.000549036,0.000549036,0.000549036
6,11581.2,2.25046,2.9311,2.13658,0.4903,0.13887,0.15093,0.05502,2.41992,3.12179,2.31144,0.000459045,0.000459045,0.000459045
7,13224.2,2.17031,2.69522,2.09879,0.23394,0.18071,0.16223,0.05563,2.43577,3.10957,2.29395,0.000369054,0.000369054,0.000369054
8,14953.3,2.10196,2.5081,2.0089,0.21788,0.19191,0.15489,0.05515,2.51536,3.16714,2.34422,0.000279063,0.000279063,0.000279063
9,16749.6,2.03425,2.35859,1.95726,0.22731,0.20463,0.16053,0.05467,2.49441,3.10931,2.36288,0.000189072,0.000189072,0.000189072
10,18552.7,1.96548,2.23108,1.91025,0.20301,0.21836,0.17774,0.0601,2.50539,3.06969,2.37477,9.9081e-05,9.9081e-05,9.9081e-05
1,2015.54,2.96734,9.68167,2.73258,0.83887,0.01042,0.01264,0.00462,2.73739,4.62313,2.3631,0.000301665,0.000301665,0.000301665
